Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
15,Malik Beasley,SG,25,MIN,4,0,22.3,3.8,8,0.469,1.8,4.8,0.368,2,3.3,0.615,0.578,1,1.3,0.8,0.5,2.5,3,0.8,0.5,0.3,1.3,2,10.3
16,D?vis Bert?ns,PF,29,DAL,4,0,12,1.3,3.3,0.385,1.3,3.3,0.385,0,0,0,0.577,1.3,1.5,0.833,0.3,1.5,1.8,0.3,0.3,0.3,0.5,2.8,5
17,Patrick Beverley,PG,33,MIN,4,4,32,3.8,8.8,0.429,1.5,4.5,0.333,2.3,4.3,0.529,0.514,2.8,4,0.688,0.5,2.5,3,5,1,1.5,1.3,4,11.8
18,Khem Birch,C,29,TOR,4,2,11.8,1.3,2.5,0.5,0.3,0.5,0.5,1,2,0.5,0.55,0,0,0,0.8,1,1.8,0.5,0.3,0,0.5,2,2.8
19,Bismack Biyombo,C,29,PHO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Nemanja Bjelica,C,33,GSW,3,0,14.7,2.7,4.7,0.571,0,1,0,2.7,3.7,0.727,0.571,1.3,2.3,0.571,0.3,1.7,2,1.3,0.7,0.7,0.7,2.3,6.7
21,Bogdan Bogdanovi?,SG,29,ATL,3,0,28.7,6.3,14.3,0.442,3,7.7,0.391,3.3,6.7,0.5,0.547,2,2,1,1,4,5,3.7,0.7,0.3,1.3,3,17.7
22,Bojan Bogdanovi?,PF,32,UTA,4,4,37.8,8,14.3,0.561,2,5.5,0.364,6,8.8,0.686,0.632,3.8,4.3,0.882,0.3,4.8,5,2,0.3,0,2,4,21.8
23,Isaac Bonga,SF,22,TOR,1,0,3,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,0,0,0,1,2
24,Devin Booker,SG,25,PHO,2,2,32.5,10,19,0.526,5.5,9.5,0.579,4.5,9.5,0.474,0.671,2.5,3,0.833,0.5,2.5,3,4.5,0.5,0,1.5,2.5,28
25,Chris Boucher,PF,29,TOR,4,0,20.3,4,6,0.667,1,1.8,0.571,3,4.3,0.706,0.75,0,0,0,2.3,3,5.3,0,0.3,1,0.3,2.3,9
26,Tony Bradley,C,24,CHI,1,0,6,5,5,1,0,0,0,5,5,1,1,0,0,0,0,3,3,0,0,0,0,0,10
27,Mikal Bridges,SF,25,PHO,3,3,39.7,5,9.7,0.517,0.7,2.3,0.286,4.3,7.3,0.591,0.552,5,5.7,0.882,0.7,3.7,4.3,2.3,0.7,1.3,1,3.3,15.7
28,Armoni Brooks,PG,23,TOR,2,0,2,0,1.5,0,0,1.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
29,Dillon Brooks,SF,26,MEM,4,4,33,6,14.8,0.407,1.8,4.8,0.368,4.3,10,0.425,0.466,3.3,4.8,0.684,0.5,1.5,2,2,0.8,0.3,3.3,3.8,17
30,Bruce Brown,SF,25,BRK,3,3,38.3,6.7,11.3,0.588,2,4,0.5,4.7,7.3,0.636,0.676,2.7,3.3,0.8,2,3.7,5.7,3,1.7,1,2.7,4.3,18
31,Jaylen Brown,SF,25,BOS,3,3,39,9,17.7,0.509,1.3,4.7,0.286,7.7,13,0.59,0.547,3.3,4.3,0.769,0.7,3.7,4.3,4.7,3,0.7,3,2.3,22.7
32,Sterling Brown,SG,26,DAL,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,2
33,Troy Brown Jr.,SF,22,CHI,1,0,12,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,0,0,2,2,0,1,0,1,1,2
